姓名,擅长,预约量
王焰,擅长：                                常见白血病诊治,1971预约量
孙慧平,擅长：                                血液肿瘤、贫血及血小板减少性紫癜等血液病,1017预约量
陈瑜,擅长：                                血液系统疾病,4051预约量
王瑾,擅长：                                白血病、淋巴瘤、骨髓瘤等血液疾病的诊治。,549预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
王卫庆,擅长：                                糖尿病、甲状腺、肾上腺等内分泌代谢病,803预约量
郁忠勤,擅长：                                内分泌代谢性疾病，糖尿病强化治疗,3008预约量
陈瑛,擅长：                                尿崩症、水、电解质紊乱、内分泌与代谢疾病,2161预约量
门诊内分泌普通门诊,擅长：                                门诊内分泌普通门诊,7138预约量
代谢中心专病门诊,擅长：                                代谢中心专病门诊,119预约量
代谢性骨病,擅长：                                      暂无,1017预约量
赵咏桔,擅长：                                内分泌代谢病,1703预约量
汤正义,擅长：                                糖尿病血糖控制与疑难并发症的诊治，甲状腺、肾上腺与垂体等内分泌病的疑难杂症,3255预约量
陈宇红,擅长：                                糖尿病和甲状腺疾病的临床诊治,2169预约量
顾卫琼,擅长：                                肥胖和糖尿病，尤其是青少年糖尿病诊疗,1701预约量
刘建民,擅长：                                诊治甲状旁腺疾病、骨质疏松等代谢性骨病及水电解质紊乱疾病。,869预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
吴立群,擅长：                                心律失常及心脏起搏器、射频导管消融术,2444预约量
何汝敏,擅长：                                心血管系统各种危重疾病与疑难病例,2361预约量
谢玉才,擅长：                                血脂异常、冠心病、高血压及心律失常等疾病的诊治,492预约量
陶蓉,擅长：                                冠心病、心力衰竭和心律失常的诊断和治疗,1402预约量
施仲伟,擅长：                                各种心血管疾病诊断与治疗，超声心动图诊断,1122预约量
胡健,擅长：                                诊治冠心病、瓣膜病及先心病及介入治疗,1412预约量
张瑞岩,擅长：                                冠心病合并糖尿病和慢性肾病、血管病的介入治疗,961预约量
刘艳,擅长：                                血脂异常、冠心病及高血压的综合等治疗,844预约量
顾刚,擅长：                                快速性及缓慢性心律失常的起搏器治疗，心力衰竭的起搏治疗,1271预约量
金玮,擅长：                                血脂异常、冠心病、心肌炎、心力衰竭的优化治疗,704预约量
吕蓓,擅长：                                冠心病、高血压、心律失常和心力衰竭等疾病,3401预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
刘霞,擅长：                                心律失常的诊治,2127预约量
钱岳晟,擅长：                                中西医结合、医疗保健、康复咨询及合理用药,2540预约量
胡亚蓉,擅长：                                高血压合并肾脏损害的诊断和治疗,1927预约量
杜俭,擅长：                                绝经后高血压（更年期高血压）诊治,1119预约量
王继光,擅长：                                难治性高血压、合并靶器官损害高血压,289预约量
门诊高血压普通门诊,擅长：                                门诊高血压普通门诊,7034预约量
高血压优化治疗,擅长：                                高血压优化治疗,927预约量
颈动脉病变斑块专病,擅长：                                颈动脉病变斑块专病,8预约量
难治性高血压,擅长：                                  高血压科是全国最早成立的专科之一，有近50年的历史，它与上海市高血压研究所共同构成具有专业特色，集科研、临床为一体，在国内外高血压领域具有很大影响的跨学科专业。    高血压...,2872预约量
青少年高血压,擅长：                                      暂无,413预约量
睡眠呼吸暂停相关高血,擅长：                                      暂无,168预约量
产后高血压,擅长：                                      暂无,142预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
继发性高血压随访,擅长：                                      暂无,265预约量
时国朝,擅长：                                胸部影象，肺血管疾病,1439预约量
李敏,"擅长：                                ""哮喘 慢性阻塞性肺病 睡眠呼吸障碍 肺部感染""",2628预约量
李庆云,擅长：                                鼾症、睡眠呼吸瘴碍、慢性阻塞性肺病、肺癌,1216预约量
高蓓莉,擅长：                                肺癌、肺部感染、肺结核和慢性阻塞性肺病等,1435预约量
万欢英,擅长：                                哮喘、肺癌、慢性阻塞性肺病、睡眠呼吸障碍,1421预约量
项轶,擅长：                                各种肺部恶性肿瘤的诊治（化疗、靶向治疗）、戒烟,1192预约量
汤葳,擅长：                                支气管哮喘及慢性阻塞性肺病的综合诊治、过敏性疾病的脱敏治疗,1359预约量
朱雪梅,擅长：                                肺弥漫性间质疾病、肺癌、肺内节结及呼吸系统其他疾病的诊断、鉴别及治疗。,926预约量
周敏,擅长：                                慢性气道疾病，包括哮喘和慢性阻塞性肺疾病,2754预约量
程齐俭,擅长：                                慢性气道阻塞性疾病、间质性肿瘤及肺部感染,676预约量
门诊呼吸科普通门诊,擅长：                                门诊呼吸科普通门诊,2594预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
慢性阻塞性气道疾病,擅长：                                      暂无,305预约量
袁耀宗,擅长：                                幽门螺杆菌感染 不明原因腹痛 不明原因消化道出血 不明原因发热 急性胆管炎 胆总管结石 胆源性胰腺炎 胃肠道息肉EMR治疗 胃肠道早癌ESD治疗 消化道狭窄支架置入 胆胰肿瘤...,6505预约量
龚彪,擅长：                                胰腺癌、胆管癌、胆总管结石、胆总管扩张、胆管狭窄、胆道阻塞、肝移植术后、壶腹周围癌、胰腺分裂症、慢性胰腺炎、急性胰腺炎、胰管结石、肝癌、胆囊癌、硬化性胆管炎、梗阻性黄疸,769预约量
胡梅洁,擅长：                                胃肠肿瘤，中西医结合，老年消化道疾病,3315预约量
吴云林,擅长：                                早期胃肠肿瘤，食管静脉曲张，消化内镜,888预约量
孙蕴伟,擅长：                                胰腺疾病的诊治及超声内镜的临床应用；炎症性肠病,1724预约量
王立夫,擅长：                                消化疾病与肿瘤的内科治疗,1884预约量
俞丽芬,擅长：                                大肠肿瘤及其癌前病变的内镜下诊断和治疗,2228预约量
张晨莉,擅长：                                消化内镜、小肠疾病、消化道常见疾病的诊断与治疗,1148预约量
程时丹,擅长：                                早期胃癌及癌前期疾病的诊治，胃肠道内镜检查和治疗,2076预约量
姚玮艳,擅长：                                胃肠功能性疾病、胰腺疾病及消化科疾病,1140预约量
华英,擅长：                                胃炎、HP感染、消化性溃疡、癌前病变,5814预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
谭继宏,擅长：                                慢性胃炎、溃疡病、超声内镜、胃癌,3004预约量
卫国华,擅长：                                神经内科、癫痫,2844预约量
陈生弟,擅长：                                神经内科、帕金森病,2586预约量
肖勤,擅长：                                帕金森氏病、肌萎缩、神经内科常见疾病,1340预约量
刘建荣,擅长：                                神经内科、脑血管病,872预约量
汤荟冬,擅长：                                记忆力减退、癫痫,1065预约量
任汝静,擅长：                                神经系统疾病，认知功能障碍,885预约量
邓钰蕾,擅长：                                老年痴呆、癫痫等神经系统疾病,949预约量
门诊神内普通门诊,擅长：                                门诊神内普通门诊,2758预约量
帕金森神经调控与康复,擅长：                                帕金森神经调控与康复,77预约量
帕金森病,擅长：                                      暂无,2598预约量
记忆障碍,擅长：                                      暂无,983预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王瑛,擅长：                                帕金森氏病、记忆力、睡眠障碍、焦虑、抑郁,2780预约量
王伟铭,擅长：                                原、继发性肾脏疾病、肾血管病、急慢性肾衰,2976预约量
张文,擅长：                                擅长急慢性肾衰竭，原发性和继发性肾脏病，肾性、高血压肾损害、糖尿病肾损害、血管炎的诊治。,1236预约量
郝翠兰,擅长：                                肾小球肾炎，肾功能不全，肾盂肾炎,1404预约量
吴珮,擅长：                                原、继发性肾脏病，急慢性肾衰的诊治,2256预约量
钱莹,"擅长：                                ""急慢性肾衰 女性尿路感染 各肾病有关的骨痛""",2378预约量
俞海瑾,擅长：                                各种原发性和继发性肾小球疾病（血管炎、系统性红斑狼疮）、急性肾衰、慢性肾脏病的诊断和治疗,2468预约量
徐耀文,擅长：                                原发、继发性肾脏疾病、泌尿道感染、结石,1395预约量
沈平雁,擅长：                                各类肾脏病变，急慢性肾衰，血透，尿路感染,1222预约量
史浩,擅长：                                原发、继发性肾小球肾病，肾功能衰竭泌尿系统感染,1219预约量
潘晓霞,擅长：                                原、继发性肾脏疾病，泌尿感染、急慢性肾衰,2062预约量
王朝晖,擅长：                                原发性、继发性及遗传性肾脏疾病,757预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
谢静远,擅长：                                各类遗传性肾脏疾病  肾小球肾炎  肾病综合征，腹膜透析的诊断与治疗,461预约量
糜坚青,擅长：                                血液科常见病的诊治。,403预约量
胡炯,擅长：                                白血病靶向治疗、大剂量化疗及移植治疗恶性白血病、造血干细胞移植治疗I型糖尿病,941预约量
李军民,擅长：                                血液恶性肿瘤及血小板减少性紫癜,767预约量
赵维莅,擅长：                                恶性淋巴瘤、造血干细胞移植,1365预约量
王学锋,擅长：                                血液科常见病的诊治。,500预约量
周励,擅长：                                主要诊治血液系统疾病如各类贫血，以及各种白细胞异常或者血小板异常，擅长血液肿瘤性疾病如白血病，慢性骨髓增生性疾病、淋巴瘤、骨髓瘤，骨髓增生异常综合征等的治疗。尤其慢性粒细胞白...,1357预约量
陈秋生,擅长：                                血液恶性肿瘤、贫血和出凝血疾病,3629预约量
王焰,擅长：                                常见白血病诊治,1971预约量
孙慧平,擅长：                                血液肿瘤、贫血及血小板减少性紫癜等血液病,1017预约量
陈瑜,擅长：                                血液系统疾病,4051预约量
王瑾,擅长：                                白血病、淋巴瘤、骨髓瘤等血液疾病的诊治。,549预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
阎骅,擅长：                                各种恶性白血病，包括急慢性白血病、淋巴瘤多发性骨髓瘤的诊疗,976预约量
杨程德,擅长：                                SLE，类风关，强直性脊柱炎、抗磷脂抗体综合症的诊治，具有较丰富的临床经验。,8237预约量
门诊风湿免疫普通门诊,擅长：                                门诊风湿免疫普通门诊,1105预约量
风湿免疫专病,擅长：                                风湿免疫专病,91预约量
王晖,"擅长：                                ""肝炎 肝硬化 脂肪肝 酒精性及自身免疫性肝病 """,3918预约量
张欣欣,擅长：                                各种急慢性病毒性肝炎、肝硬化、不明原因肝损害，尤其是乙肝、丙肝抗病毒治疗,3023预约量
龚启明,擅长：                                各种急慢性病毒性肝炎、肝硬化、不明原因肝损害、发热待查及其他传染病，如中枢感染,3443预约量
蔡伟,擅长：                                慢性乙型和丙型肝炎抗病毒治疗；肝硬化抗纤维化治疗；免疫性、药物性、脂肪性肝炎诊治,1775预约量
林之莓,"擅长：                                ""慢性肝炎 脂肪肝及其他肝病的诊断和治疗""",2619预约量
许蓓,"擅长：                                ""肝炎 神经系统、呼吸道及肠道传染病 脂肪肝""",2137预约量
谢青,擅长：                                慢性肝炎、重型肝炎、肝硬化、脂肪肝,2374预约量
诸葛传德,"擅长：                                ""各种脑膜炎、脑炎 寄生虫的诊断及治疗 肝炎      """,720预约量
安宝燕,擅长：                                病毒性肝炎及自身免疫性肝病的诊断与治疗,1594预约量
史冬梅,擅长：                                慢性肝炎、肝硬化、重症肝炎治疗及脂肪肝,2637预约量
赵国明,擅长：                                病毒性肝炎、肝硬化、脂肪肝,839预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
周惠娟,擅长：                                乙肝、丙肝的诊治，对于丙肝特殊人群治疗和抗病毒治疗中不良反应处理有丰富经验。,908预约量
王卫庆,擅长：                                糖尿病、甲状腺、肾上腺等内分泌代谢病,803预约量
郁忠勤,擅长：                                内分泌代谢性疾病，糖尿病强化治疗,3008预约量
陈瑛,擅长：                                尿崩症、水、电解质紊乱、内分泌与代谢疾病,2161预约量
门诊内分泌普通门诊,擅长：                                门诊内分泌普通门诊,7138预约量
代谢中心专病门诊,擅长：                                代谢中心专病门诊,119预约量
代谢性骨病,擅长：                                      暂无,1017预约量
赵咏桔,擅长：                                内分泌代谢病,1703预约量
汤正义,擅长：                                糖尿病血糖控制与疑难并发症的诊治，甲状腺、肾上腺与垂体等内分泌病的疑难杂症,3255预约量
陈宇红,擅长：                                糖尿病和甲状腺疾病的临床诊治,2169预约量
顾卫琼,擅长：                                肥胖和糖尿病，尤其是青少年糖尿病诊疗,1701预约量
刘建民,擅长：                                诊治甲状旁腺疾病、骨质疏松等代谢性骨病及水电解质紊乱疾病。,869预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
王曙,擅长：                                各类内分泌疾病、甲状腺疾病、骨质疏松、糖尿病等,583预约量
惠小平,擅长：                                危重病康复、心内科、普内科,794预约量
张利年,擅长：                                血液系统疾病，普内科疾病及老年病,1444预约量
吴方,擅长：                                内科复杂疾病的综合诊治、出血病、血栓病、老年病的治疗。,3预约量
周伟君,擅长：                                内科常见疾病 尤其是高血压并发症的诊治,855预约量
邱伟华,擅长：                                消化道肿瘤、甲状腺疾病和肝脏、胰腺疾病的诊断和治疗。,2897预约量
尹路,擅长：                                擅长处理腹部外科疑难病症和肠瘘；胃肠道肿瘤微创治疗；结直肠肛门疾病,469预约量
陈拥军,擅长：                                对肝脏肿瘤诊断和综合治疗有着丰富经验，擅长精准肝切除、微创肝切除和活体肝移植手术,2317预约量
燕敏,擅长：                                消化道肿瘤，外科营养,1910预约量
