姓名,擅长,预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周达新,擅长：                                心律失常、先心病介入治疗、肺动脉高压的诊治,1.1万预约量
宿燕岗,擅长：                                心力衰竭、心脏起搏诊治,6909预约量
颜彦,擅长：                                心病、心肌疾病、心律失常的诊治,7175预约量
张峰,擅长：                                擅长冠心病、心肌缺血、心肌梗死的诊断和治疗，尤其擅长各种冠心病微创介入诊疗技术，包括冠脉造影、冠脉内支架植入术、冠脉内超声检查术、冠脉内血流储备分数测定术、冠脉内高频旋磨术等,4416预约量
姜红,擅长：                                高血压病、冠心病、高血脂、心肌病、心律失常和心功能不全等心内科疾病的临床诊治。,3838预约量
陈瑞珍,擅长：                                心肌炎、心肌病、心力衰竭、高血压等心血管疾病的诊治,1.0万预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
秦新裕,擅长：                                普外科疾病，尤其胃肠外科疾病诊断及手术治疗,12预约量
楼文晖,擅长：                                普外科疾病诊治，尤擅长胆胰肿瘤的外科诊治,787预约量
宋陆军,擅长：                                普外科疾病，尤其胆道、甲状腺、胃肠道肿瘤的外科诊治及微创手术,2483预约量
张勇,擅长：                                胃肠肿瘤的外科诊疗及乳腺癌的综合诊治,396预约量
汪学非,擅长：                                普外科常见疾病的规范化诊治，尤其擅长胃肠道肿瘤的外科治疗和多学科协作综合治疗,26预约量
罗文杰,擅长：                                普外科，尤其乳腺疾病、消化道肿瘤、甲状腺外科、腹外疝等疾病的诊治,暂无预约量
许剑民,擅长：                                胃、结直肠肿瘤及转移性肝癌的诊治,1.9万预约量
刘厚宝,擅长：                                普外科疾病诊治，特别擅长胆囊癌、胆管癌、壶腹部癌及胆石症等胆胰疾病的诊治和胃肠肿瘤外科手术。,5552预约量
靳大勇,擅长：                                普外科疾病，尤其胰腺疾病的诊治,4150预约量
吴国豪,擅长：                                普外科疾病诊治，尤其胃肠道肿瘤手术、临床营养治疗,5495预约量
牛伟新,擅长：                                甲状腺、乳腺及胃肠道肿瘤的诊治,2607预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
韦烨,擅长：                                结直肠肿瘤微创治疗,2415预约量
何礼贤,擅长：                                肺部感染及呼吸系统疑难杂症,1917预约量
金美玲,擅长：                                支气管哮喘、慢性阻塞性肺病、肺癌及肺部弥漫性病变诊治,9433预约量
张新,擅长：                                呼吸系疾病，尤其擅长肺癌诊治、气管镜诊断及介入治疗、肺部结节鉴别诊断,5683预约量
朱蕾,擅长：                                擅长慢支、肺气肿、哮喘、各类肺炎、肺真菌病及肺部疑难杂症诊治,4337预约量
宋元林,擅长：                                支气管扩张症，慢阻肺，肺部感染，呼吸衰竭，重症肺炎，哮喘，纤毛不动综合征等呼吸疾病的诊断和治疗。,454预约量
李善群,擅长：                                鼾症、支气管炎、肺气肿、哮喘、肺部肿瘤的诊治,9853预约量
潘珏,擅长：                                各种原因不明的发热、肺部结节的鉴别诊断，肺炎、肺结核、骨关节感染、肝脓肿、心内膜炎、尿路感染、淋巴结结核等肺外结节。,4021预约量
洪群英,擅长：                                呼吸科疾病，特别是肺弥漫性间质性疾病及肺癌的诊断与治疗,6130预约量
邵长周,擅长：                                呼吸道感染、肺真菌病、肺部肿瘤、哮喘、慢性阻塞性肺病、间质性肺炎及其他常见呼吸系统疾病的诊,4725预约量
姜红妮,擅长：                                腹部感染、肺部占位性疾病、间质性肺病等诊治,1972预约量
张静,擅长：                                慢性气道疾病的预防和管理，肺部炎症、阴影的鉴别诊断和治疗,1995预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
何礼贤,擅长：                                肺部感染及呼吸系统疑难杂症,1917预约量
金美玲,擅长：                                支气管哮喘、慢性阻塞性肺病、肺癌及肺部弥漫性病变诊治,9433预约量
张新,擅长：                                呼吸系疾病，尤其擅长肺癌诊治、气管镜诊断及介入治疗、肺部结节鉴别诊断,5683预约量
朱蕾,擅长：                                擅长慢支、肺气肿、哮喘、各类肺炎、肺真菌病及肺部疑难杂症诊治,4337预约量
宋元林,擅长：                                支气管扩张症，慢阻肺，肺部感染，呼吸衰竭，重症肺炎，哮喘，纤毛不动综合征等呼吸疾病的诊断和治疗。,454预约量
李善群,擅长：                                鼾症、支气管炎、肺气肿、哮喘、肺部肿瘤的诊治,9853预约量
洪群英,擅长：                                呼吸科疾病，特别是肺弥漫性间质性疾病及肺癌的诊断与治疗,6130预约量
白春学,擅长：                                擅长戒烟、肺肿瘤、肺血管病、胸膜间皮瘤、慢性气道疾病等所有呼吸系统疾病诊治,4506预约量
李华茵,擅长：                                呼吸系统疾病的诊治，肺部感染、慢性阻塞性肺病、肺部肿瘤诊断,9332预约量
王葆青,擅长：                                呼吸系统疾病的诊治，尤专长肺部感染性疾病，包括各种急慢性炎症、支气管扩张的诊治、肺癌的诊断与综合性治疗、支气管哮喘的规范化诊治、对肺部阴影的鉴别诊断，抗生素的应用有丰富经验。,2071预约量
顾宇彤,擅长：                                慢性阻塞性肺病、哮喘、急慢性呼吸衰竭抢救，肺部疑难疾病诊治,7068预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
葛棣,擅长：                                胸外科疾病及疑难杂症。肺癌、食管癌外科治疗；漏斗胸、纵膈肿瘤外科治疗；支气管胸膜瘘治疗；胸腔镜微创手术。,3249预约量
谭黎杰,擅长：                                微创胸外科手术；肺癌、食管癌的规范化治疗,3589预约量
王群,擅长：                                肺部肿瘤、食管癌、纵隔肿瘤的外科治疗及胸腔镜诊疗,8796预约量
徐松涛,擅长：                                肺癌、食管癌、纵隔肿瘤等胸外科疾病，胸腔镜,2681预约量
卢春来,擅长：                                胸外科常见疾病（肺癌、肺部小结节、食管癌及纵隔肿瘤等）的外科诊治。,1261预约量
时雨,擅长：                                胸部恶性肿瘤及良性疾病的微创治疗，包括肺部玻璃结节（GGO）、早期肺癌、手汗症、气胸、肺大泡、纵隔肿瘤等。,466预约量
范虹,擅长：                                肺部肿瘤（结节）、食管肿瘤、纵隔肿瘤（胸腺瘤）的胸腔镜微创手术和机器人微创手术，气管良恶性疾病的手术治疗。,2507预约量
刘愉,擅长：                                肺癌、食管癌、贲门癌、纵膈肿瘤的外科诊治,1874预约量
袁云锋,擅长：                                专攻GGO(磨玻璃影)、GGN(磨玻璃结节)及其他肺小结节的诊断和治疗；擅长胸腔镜/机器人微创手术，如微创肺叶、肺段切除、微创肺癌根治术、纵隔镜、EBUS、微创纵隔肿瘤切除、...,2970预约量
林宗武,擅长：                                肺部磨玻璃结节（毛玻璃结节）、早期肺癌、手汗症、气胸、肺大疱、纵隔肿瘤（包括胸腺瘤等）、食管癌、食管良性肿瘤等的微创治疗。尤其擅长单孔胸腔镜肺手术。,445预约量
丁建勇,擅长：                                胸腺疾病的外科诊治、纵隔镜,1459预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
徐正浪,擅长：                                胸外科疑难杂症的诊治,978预约量
葛棣,擅长：                                胸外科疾病及疑难杂症。肺癌、食管癌外科治疗；漏斗胸、纵膈肿瘤外科治疗；支气管胸膜瘘治疗；胸腔镜微创手术。,3249预约量
谭黎杰,擅长：                                微创胸外科手术；肺癌、食管癌的规范化治疗,3589预约量
王群,擅长：                                肺部肿瘤、食管癌、纵隔肿瘤的外科治疗及胸腔镜诊疗,8796预约量
范虹,擅长：                                肺部肿瘤（结节）、食管肿瘤、纵隔肿瘤（胸腺瘤）的胸腔镜微创手术和机器人微创手术，气管良恶性疾病的手术治疗。,2507预约量
郑如恒,擅长：                                肺癌、食管癌、纵隔肿瘤诊治,616预约量
丁文军,擅长：                                瓣膜成形及置换，不停跳冠脉搭桥术，动脉瘤手术及先心病纠治等,4507预约量
洪涛,擅长：                                瓣膜病、先心的外科治疗,3073预约量
夏利民,擅长：                                冠心病、瓣膜病以及成人先心病的外科诊治，特别是微创冠脉手术等,2875预约量
徐德民,擅长：                                先心病、瓣膜病、冠心病的外科治疗,1878预约量
赵东,擅长：                                微创治疗风湿性瓣膜病、先心病、冠心病及房颤,2095预约量
王春生,擅长：                                各种复杂先心病、冠心病、瓣膜病、动脉瘤、心脏及心肺移植诊治、微创手术等,7193预约量
陈志强,擅长：                                先心、瓣膜病的外科诊治,332预约量
刘琛,擅长：                                瓣膜病、冠心病、先心病和动脉瘤的诊治,1883预约量
孙晓宁,擅长：                                微创冠脉搭桥，瓣膜修复置换，升主动脉瘤，人工心脏治疗心力衰竭,1270预约量
杨兆华,擅长：                                心脏瓣膜病、成人先天性心脏病及冠心病的外科治疗,343预约量
杨守国,擅长：                                二尖瓣修复成形(包括微创二尖瓣成形术)、三尖瓣修复成形术。各类心脏瓣膜置换。冠心病的冠脉搭桥术。晚期心脏病的心脏移植手术。,1459预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
杨成,擅长：                                小切口风湿性心脏病瓣膜置换，先天性心脏手术，微创冠状动脉搭桥，大血管疾病,1185预约量
丁文军,擅长：                                瓣膜成形及置换，不停跳冠脉搭桥术，动脉瘤手术及先心病纠治等,4507预约量
洪涛,擅长：                                瓣膜病、先心的外科治疗,3073预约量
王春生,擅长：                                各种复杂先心病、冠心病、瓣膜病、动脉瘤、心脏及心肺移植诊治、微创手术等,7193预约量
蒋振斌,擅长：                                先天性心脏病、后天性瓣膜病等外科治疗,596预约量
王敏生,擅长：                                心胸外科，先心、瓣膜、主动脉瘤等,688预约量
王齐兵,擅长：                                冠心病介入诊断及治疗；心肌疾病；心脏重症监护,3338预约量
卜丽萍,擅长：                                高血压、高血脂、冠心病、心律失常,4201预约量
李清,擅长：                                心血管疾病的诊治,5550预约量
钱菊英,擅长：                                冠心病的介入治疗，心血管疾病诊断和治疗,6971预约量
陆浩,擅长：                                冠心病的药物及介入治疗。,579预约量
张英梅,擅长：                                冠心病的诊断治疗。,289预约量
葛均波,擅长：                                心血管疾病的诊治,10预约量
王箴,擅长：                                高血脂症、高血压、心力衰竭、冠心病等心内科疾病的诊治,317预约量
张书宁,擅长：                                冠心病药物及介入治疗,725预约量
刘学波,擅长：                                冠心病的诊断和介入治疗，精通血管内超声（IVUS）、光学相干断层扫描（OCT）和冠状动脉血流分数储备（FFR）等先进的冠心病诊断方法，并在国内和国际具有一定声誉。在左主干、分...,473预约量
舒先红,擅长：                                擅长高血压、冠心病、心律失常、心力衰竭的诊治；心脏超声诊断,8308预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
王齐兵,擅长：                                冠心病介入诊断及治疗；心肌疾病；心脏重症监护,3338预约量
钱菊英,擅长：                                冠心病的介入治疗，心血管疾病诊断和治疗,6971预约量
葛均波,擅长：                                心血管疾病的诊治,10预约量
舒先红,擅长：                                擅长高血压、冠心病、心律失常、心力衰竭的诊治；心脏超声诊断,8308预约量
周京敏,擅长：                                心内科疾病，心律失常、射频消融治疗,8587预约量
周达新,擅长：                                心律失常、先心病介入治疗、肺动脉高压的诊治,1.1万预约量
宿燕岗,擅长：                                心力衰竭、心脏起搏诊治,6909预约量
颜彦,擅长：                                心病、心肌疾病、心律失常的诊治,7175预约量
张峰,擅长：                                擅长冠心病、心肌缺血、心肌梗死的诊断和治疗，尤其擅长各种冠心病微创介入诊疗技术，包括冠脉造影、冠脉内支架植入术、冠脉内超声检查术、冠脉内血流储备分数测定术、冠脉内高频旋磨术等,4416预约量
姜红,擅长：                                高血压病、冠心病、高血脂、心肌病、心律失常和心功能不全等心内科疾病的临床诊治。,3838预约量
陈瑞珍,擅长：                                心肌炎、心肌病、心力衰竭、高血压等心血管疾病的诊治,1.0万预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
程蕾蕾,擅长：                                心脏内科疾病诊治，心脏超声诊断。,1822预约量
何礼贤,擅长：                                肺部感染及呼吸系统疑难杂症,1917预约量
金美玲,擅长：                                支气管哮喘、慢性阻塞性肺病、肺癌及肺部弥漫性病变诊治,9433预约量
张新,擅长：                                呼吸系疾病，尤其擅长肺癌诊治、气管镜诊断及介入治疗、肺部结节鉴别诊断,5683预约量
朱蕾,擅长：                                擅长慢支、肺气肿、哮喘、各类肺炎、肺真菌病及肺部疑难杂症诊治,4337预约量
宋元林,擅长：                                支气管扩张症，慢阻肺，肺部感染，呼吸衰竭，重症肺炎，哮喘，纤毛不动综合征等呼吸疾病的诊断和治疗。,454预约量
李善群,擅长：                                鼾症、支气管炎、肺气肿、哮喘、肺部肿瘤的诊治,9853预约量
潘珏,擅长：                                各种原因不明的发热、肺部结节的鉴别诊断，肺炎、肺结核、骨关节感染、肝脓肿、心内膜炎、尿路感染、淋巴结结核等肺外结节。,4021预约量
洪群英,擅长：                                呼吸科疾病，特别是肺弥漫性间质性疾病及肺癌的诊断与治疗,6130预约量
邵长周,擅长：                                呼吸道感染、肺真菌病、肺部肿瘤、哮喘、慢性阻塞性肺病、间质性肺炎及其他常见呼吸系统疾病的诊,4725预约量
姜红妮,擅长：                                腹部感染、肺部占位性疾病、间质性肺病等诊治,1972预约量
张静,擅长：                                慢性气道疾病的预防和管理，肺部炎症、阴影的鉴别诊断和治疗,1995预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
张辉军,擅长：                                肺部肿瘤，腹部感染；慢性咳嗽；支气管哮喘；慢性阻塞性肺疾病。,301预约量
何礼贤,擅长：                                肺部感染及呼吸系统疑难杂症,1917预约量
金美玲,擅长：                                支气管哮喘、慢性阻塞性肺病、肺癌及肺部弥漫性病变诊治,9433预约量
张新,擅长：                                呼吸系疾病，尤其擅长肺癌诊治、气管镜诊断及介入治疗、肺部结节鉴别诊断,5683预约量
朱蕾,擅长：                                擅长慢支、肺气肿、哮喘、各类肺炎、肺真菌病及肺部疑难杂症诊治,4337预约量
宋元林,擅长：                                支气管扩张症，慢阻肺，肺部感染，呼吸衰竭，重症肺炎，哮喘，纤毛不动综合征等呼吸疾病的诊断和治疗。,454预约量
李善群,擅长：                                鼾症、支气管炎、肺气肿、哮喘、肺部肿瘤的诊治,9853预约量
洪群英,擅长：                                呼吸科疾病，特别是肺弥漫性间质性疾病及肺癌的诊断与治疗,6130预约量
白春学,擅长：                                擅长戒烟、肺肿瘤、肺血管病、胸膜间皮瘤、慢性气道疾病等所有呼吸系统疾病诊治,4506预约量
李华茵,擅长：                                呼吸系统疾病的诊治，肺部感染、慢性阻塞性肺病、肺部肿瘤诊断,9332预约量
王葆青,擅长：                                呼吸系统疾病的诊治，尤专长肺部感染性疾病，包括各种急慢性炎症、支气管扩张的诊治、肺癌的诊断与综合性治疗、支气管哮喘的规范化诊治、对肺部阴影的鉴别诊断，抗生素的应用有丰富经验。,2071预约量
顾宇彤,擅长：                                慢性阻塞性肺病、哮喘、急慢性呼吸衰竭抢救，肺部疑难疾病诊治,7068预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
高育瑶,擅长：                                肺癌早期诊断，纤维支气管镜肺活检，慢性阻塞性肺病、哮喘、肺部感染及结核病的诊治,494预约量
蔡瑜,擅长：                                肝病和胃肠病诊治。,761预约量
石虹,擅长：                                肝脏疾病、胃肠道疾病的诊断和治疗,2109预约量
李锋,擅长：                                各种急慢性肝病及其并发症、脂肪肝和胃肠道疾病的诊治,765预约量
周朝晖,擅长：                                急慢性肝炎的诊治，肝纤维化的防治，脂肪肝、乙肝携带者随访,333预约量
蒋炜,擅长：                                慢性肝病及胃肠疾病，包括：1）慢性乙肝肝纤维化的优化治疗；2）肝硬化及自身免疫性肝病规范诊治；3）胃肠疾病的综合治疗,6866预约量
张顺财,擅长：                                肝病、消化系统疾病诊治,9661预约量
孙剑勇,擅长：                                胃肠病及肝病诊治,1.0万预约量
沈锡中,擅长：                                胃肠病、慢性肝病诊治,6715预约量
刘韬韬,擅长：                                胃肠疾病、慢性肝病的诊治,1968预约量
王剑,擅长：                                胃肠病，肝病的诊治。内镜下疾病诊断和治疗,963预约量
陈雪华,擅长：                                急慢性肺炎、弥散性肺病的诊治,1026预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
涂传涛,擅长：                                慢性肝病，胆道、胰腺疾病，以及胃肠道疾病的诊断与治疗。,1468预约量
